Method, Threads, Block Size, Average Execution Time (µs)
Coalesced, 662464, 698, 290.004
Non-coalesced, 662464, 698, 389.997
Coalesced, 662464, 700, 299.312
Non-coalesced, 662464, 700, 353.276
Coalesced, 662464, 702, 205.991
Non-coalesced, 662464, 702, 192.851
Coalesced, 662464, 704, 256.331
Non-coalesced, 662464, 704, 285.162
Coalesced, 662464, 706, 378.749
Non-coalesced, 662464, 706, 285.934
Coalesced, 662464, 708, 347.145
Non-coalesced, 662464, 708, 325.132
Coalesced, 662464, 710, 374.327
Non-coalesced, 662464, 710, 327.113
Coalesced, 662464, 712, 229.096
Non-coalesced, 662464, 712, 191.589
Coalesced, 662464, 714, 199.251
Non-coalesced, 662464, 714, 231.15
Coalesced, 662464, 716, 190.378
Non-coalesced, 662464, 716, 209.775
Coalesced, 662464, 718, 171.257
Non-coalesced, 662464, 718, 163.416
Coalesced, 662464, 720, 158.384
Non-coalesced, 662464, 720, 166.708
Coalesced, 662464, 722, 173.835
Non-coalesced, 662464, 722, 184.889
Coalesced, 662464, 724, 163.062
Non-coalesced, 662464, 724, 170.262
Coalesced, 662464, 726, 160.725
Non-coalesced, 662464, 726, 166.299
Coalesced, 662464, 728, 167.405
Non-coalesced, 662464, 728, 171.654
Coalesced, 662464, 730, 161.578
Non-coalesced, 662464, 730, 168.624
Coalesced, 662464, 732, 159.8
Non-coalesced, 662464, 732, 167.058
Coalesced, 662464, 734, 164.567
Non-coalesced, 662464, 734, 165.463
Coalesced, 662464, 736, 161.126
Non-coalesced, 662464, 736, 167.988
Coalesced, 662464, 738, 158.805
Non-coalesced, 662464, 738, 170.126
Coalesced, 662464, 740, 335.171
Non-coalesced, 662464, 740, 344.432
Coalesced, 662464, 742, 316.909
Non-coalesced, 662464, 742, 450.262
Coalesced, 662464, 744, 234.908
Non-coalesced, 662464, 744, 363.982
Coalesced, 662464, 746, 164.335
Non-coalesced, 662464, 746, 185.852
Coalesced, 662464, 748, 169.326
Non-coalesced, 662464, 748, 169.555
Coalesced, 662464, 750, 158.005
Non-coalesced, 662464, 750, 167.929
Coalesced, 662464, 752, 156.322
Non-coalesced, 662464, 752, 185.817
Coalesced, 662464, 754, 161.312
Non-coalesced, 662464, 754, 167.046
Coalesced, 662464, 756, 158.834
Non-coalesced, 662464, 756, 166.457
Coalesced, 662464, 758, 229.41
Non-coalesced, 662464, 758, 274.031
Coalesced, 662464, 760, 230.253
Non-coalesced, 662464, 760, 244.977
Coalesced, 662464, 762, 317.291
